service_id,date,exception_type
25EISA_R06,20260502,1
25EISA_R06,20260509,1
25EISA_R06,20260516,1
25EISA_R06,20260523,1
25EISA_R06,20260530,1
25EISA_R06,20260606,1
25EISA_R06,20260613,1
25EISA_R06,20260620,1
25EISA_R06,20260627,1
25EISA_R08,20251220,1
25EISA_R08,20251227,1
25EISA_R08,20260103,1
25EISA_R08,20260110,1
25EISA_R08,20260117,1
25EISA_R08,20260124,1
25EISA_R08,20260131,1
25EISA_R08,20260207,1
25EISA_R08,20260214,1
25EISA_R08,20260221,1
25EISA_R08,20260228,1
25EISA_R08,20260307,1
25EISA_R08,20260314,1
25EISA_R08,20260321,1
25EISA_R08,20260328,1
25EISA_R08,20260404,1
25EISA_R08,20260411,1
25EISA_R08,20260418,1
25EISA_R08,20260425,1
25EISA_R08,20260502,1
25EISA_R08,20260509,1
25EISA_R08,20260516,1
25EISA_R08,20260523,1
25EISA_R08,20260530,1
25EISA_R08,20260606,1
25EISA_R08,20260613,1
25EISA_R08,20260620,1
25EISA_R08,20260627,1
25EISA_R10,20251220,1
25EISA_R10,20251227,1
25EISA_R10,20260103,1
25EISA_R10,20260110,1
25EISA_R10,20260117,1
25EISA_R10,20260124,1
25EISA_R10,20260131,1
25EISA_R10,20260207,1
25EISA_R10,20260214,1
25EISA_R10,20260221,1
25EISA_R10,20260228,1
25EISA_R10,20260307,1
25EISA_R10,20260314,1
25EISA_R10,20260321,1
25EISA_R10,20260328,1
25EISA_R10,20260404,1
25EISA_R10,20260411,1
25EISA_R10,20260418,1
25EISA_R10,20260425,1
25EISA_R10,20260502,1
25EISA_R10,20260509,1
25EISA_R10,20260516,1
25EISA_R10,20260523,1
25EISA_R10,20260530,1
25EISA_R10,20260606,1
25EISA_R10,20260613,1
25EISA_R10,20260620,1
25EISA_R10,20260627,1
25EISA_R12,20251220,1
25EISA_R12,20251227,1
25EISA_R12,20260103,1
25EISA_R12,20260110,1
25EISA_R12,20260117,1
25EISA_R12,20260124,1
25EISA_R12,20260131,1
25EISA_R12,20260207,1
25EISA_R12,20260214,1
25EISA_R12,20260221,1
25EISA_R12,20260228,1
25EISA_R12,20260307,1
25EISA_R12,20260314,1
25EISA_R12,20260321,1
25EISA_R12,20260328,1
25EISA_R12,20260404,1
25EISA_R12,20260411,1
25EISA_R12,20260418,1
25EISA_R12,20260425,1
25EISA_R12,20260502,1
